latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.697715,110.37447,210.0,28800,Asia/Singapore,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),wind_gusts_10m_max (km/h),weather_code (wmo code),precipitation_sum (mm),precipitation_hours (h)
2020-09-16,30.6,18.9,32.3,38.5,51,0.90,4.0
2020-09-17,31.0,20.5,34.6,32.4,51,1.40,9.0
2020-09-18,33.8,20.8,37.0,38.9,53,2.70,8.0
2020-09-19,36.0,21.8,38.8,40.7,53,2.10,4.0
2020-09-20,34.9,22.0,38.2,46.4,61,3.20,8.0
2020-09-21,30.0,22.3,33.1,37.1,61,10.50,13.0
2020-09-22,27.2,23.1,31.4,29.5,63,24.30,23.0
2020-09-23,30.6,22.6,34.8,32.8,53,2.90,13.0
2020-09-24,29.8,23.1,33.7,29.2,53,3.40,14.0
2020-09-25,30.6,22.5,36.5,31.3,53,2.50,12.0
2020-09-26,31.4,21.5,36.3,36.4,63,8.60,9.0
2020-09-27,30.4,22.2,34.3,31.3,53,2.10,10.0
2020-09-28,29.3,22.0,31.6,40.7,53,4.10,13.0
2020-09-29,28.2,21.2,31.2,35.6,63,11.20,20.0
2020-09-30,29.9,21.0,34.3,33.1,63,10.80,14.0
2020-10-01,32.2,22.4,38.1,31.0,63,10.40,12.0
2020-10-02,30.9,22.0,37.0,34.2,61,6.30,12.0
2020-10-03,28.6,22.8,32.6,32.4,55,8.90,20.0
2020-10-04,28.2,22.5,31.1,40.0,55,9.10,24.0
2020-10-05,27.4,21.8,30.2,39.2,61,18.20,23.0
2020-10-06,27.5,22.0,29.9,34.2,55,9.00,24.0
2020-10-07,28.7,22.4,31.6,29.5,51,0.30,2.0
2020-10-08,28.0,22.2,31.8,27.4,53,3.60,14.0
2020-10-09,29.1,21.5,33.8,26.3,53,2.80,10.0
2020-10-10,28.7,22.2,33.4,28.1,63,14.30,17.0
2020-10-11,32.3,23.0,36.0,29.9,63,27.80,20.0
2020-10-12,29.5,23.2,35.7,35.3,63,16.50,19.0
2020-10-13,29.8,22.3,35.5,26.3,63,9.50,8.0
2020-10-14,30.6,21.6,36.5,27.4,53,2.20,11.0
2020-10-15,28.5,22.8,32.6,27.7,63,9.20,23.0
2020-10-16,27.4,23.0,31.8,26.6,63,13.90,24.0
2020-10-17,29.1,22.6,34.2,27.7,51,2.60,14.0
2020-10-18,28.5,22.6,33.2,31.3,53,5.70,16.0
2020-10-19,28.0,22.9,32.8,24.1,63,24.30,21.0
2020-10-20,30.1,22.5,36.3,29.2,65,21.20,14.0
2020-10-21,26.4,22.9,31.4,19.1,65,54.60,22.0
2020-10-22,28.8,22.9,34.2,32.0,61,10.20,16.0
2020-10-23,27.5,22.7,33.1,27.0,63,19.20,21.0
2020-10-24,29.2,22.4,34.5,28.8,63,13.00,18.0
2020-10-25,28.5,22.9,33.7,29.9,65,39.50,23.0
